DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
16-SEP-2006	2CIT1002	K_SAK	322029	15030	43239
16-SEP-2006	2CIT1002	K_SAK	322029	15030	3811
16-SEP-2006	2CIT1002	GRAF-F	322029	15030	5949
16-SEP-2006	2CIT1002	GRAF-F	322029	15030	9515
16-SEP-2006	2BIO2011	GRAF-F	248941	279	413
16-SEP-2006	2BIO2011	GRAF-F	248941	279	661
16-SEP-2006	2BIO2011	SATR	248941	279	13098
16-SEP-2006	2BIO2011	SATR	248941	279	14780
16-SEP-2006	2BIO2011	K_SAK	248941	279	46273
16-SEP-2006	2BIO2011	K_SAK	248941	279	3196
16-SEP-2006	2BIO2011	K_SAK	248941	279	6345
16-SEP-2006	2BIO2011	SATR	248941	279	13098
16-SEP-2006	2BIO2011	HTM-F	248941	279	11622
16-SEP-2006	2BIO2011	SATR	248941	279	10699
16-SEP-2006	2BIO2011	SATR	248941	279	30281
16-SEP-2006	2BIO2011	GRAF-F	248941	279	106
16-SEP-2006	2BIO2011	GRAF-F	248941	279	279
16-SEP-2006	2BIO2011	GRAF-F	248941	279	323
16-SEP-2006	2BIO2011	GRAF-F	248941	279	592
16-SEP-2006	2BIO2011	GRAF-F	248941	279	728
16-SEP-2006	2BIO2011	GRAF-F	248941	279	407
16-SEP-2006	2BIO2011	GRAF-F	248941	279	967
16-SEP-2006	2BIO2011	GRAF-F	248941	279	421
16-SEP-2006	2BIO2011	GRAF-F	248941	279	467
16-SEP-2006	2BIO2011	GRAF-F	248941	279	308
16-SEP-2006	2BIO2011	GRAF-F	248941	279	285
16-SEP-2006	2BIO2011	GRAF-F	248941	279	563
16-SEP-2006	2BIO2011	GRAF-F	248941	279	424
16-SEP-2006	2BIO2011	GRAF-F	248941	279	388
16-SEP-2006	2BIO2011	GRAF-F	248941	279	849
16-SEP-2006	2BIO2011	GRAF-F	248941	279	181
16-SEP-2006	2BIO2011	GRAF-F	248941	279	204
16-SEP-2006	2BIO2011	GRAF-F	248941	279	281
16-SEP-2006	2BIO2011	GRAF-F	248941	279	552
16-SEP-2006	2BIO2011	GRAF-F	248941	279	208
16-SEP-2006	2BIO2011	GRAF-F	248941	279	255
16-SEP-2006	2BIO2011	GRAF-F	248941	279	614
16-SEP-2006	2BIO2011	GRAF-F	248941	279	329
16-SEP-2006	2BIO2011	GRAF-F	248941	279	2468
16-SEP-2006	2BIO2011	GRAF-F	248941	279	1218
16-SEP-2006	2BIO2011	GRAF-F	248941	279	1220
16-SEP-2006	2BIO2011	GRAF-F	248941	279	386
16-SEP-2006	2BIO2011	GRAF-F	248941	279	422
16-SEP-2006	2BIO2011	GRAF-F	248941	279	1206
16-SEP-2006	2BIO2011	GRAF-F	248941	279	1204
16-SEP-2006	2BIO2011	GRAF-F	248941	279	1235
16-SEP-2006	2BIO2011	GRAF-F	248941	279	305
16-SEP-2006	2BIO2011	GRAF-F	248941	279	453
16-SEP-2006	2BIO2011	GRAF-F	248941	279	254
16-SEP-2006	2BIO2011	GRAF-F	248941	279	209
16-SEP-2006	2BIO2011	GRAF-F	248941	279	343
16-SEP-2006	2BIO2011	GRAF-F	248941	279	452
16-SEP-2006	2BIO2011	GRAF-F	248941	279	296
16-SEP-2006	2BIO2011	GRAF-F	248941	279	411
16-SEP-2006	2BIO2085	K_SAK	319427	5548	48321
16-SEP-2006	2BIO2085	K_SAK	319427	5548	3907
16-SEP-2006	2BIO2085	SATR	319427	5548	4791
16-SEP-2006	2BIO2085	HTM-F	319427	5548	448
16-SEP-2006	2BIO2085	SATR	319427	5548	4791
16-SEP-2006	2DAT1021	K_SAK	315712	5746	44970
16-SEP-2006	2DAT1021	K_SAK	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	670
16-SEP-2006	2DAT1021	CIT_K	315712	5746	2373
16-SEP-2006	2DAT1021	HTM-F	315712	5746	2373
16-SEP-2006	2DAT1021	CIT_K	315712	5746	2373
16-SEP-2006	2DAT1021	HTM-F	315712	5746	8455
16-SEP-2006	2DAT1021	HTM-F	315712	5746	2687
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	26242
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	780
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	894
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	915
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	826
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	434
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	734
16-SEP-2006	2DAT1021	HTM-F	315712	5746	287
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	287
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	831
16-SEP-2006	2DAT1021	HTM-F	315712	5746	5793
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	5793
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	808
16-SEP-2006	2DAT1021	HTM-F	315712	5746	9397
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	9397
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	9397
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	HTM-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	HTM-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	695
16-SEP-2006	2DAT1021	HTM-F	315712	5746	695
16-SEP-2006	2DAT1021	CIT-F	315712	5746	18574
16-SEP-2006	2DAT1021	CIT_K	315712	5746	244
16-SEP-2006	2DAT1021	CIT_K	315712	5746	244
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	244
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	244
16-SEP-2006	2DAT1021	HTM-F	315712	5746	244
16-SEP-2006	2DAT1021	CIT-F	315712	5746	95657
16-SEP-2006	2DAT1021	CIT-F	315712	5746	8180
16-SEP-2006	2DAT1021	CIT_K	315712	5746	8180
16-SEP-2006	2DAT1021	CIT_K	315712	5746	8180
16-SEP-2006	2DAT1021	CIT-F	315712	5746	26099
16-SEP-2006	2DAT1021	CIT_K	315712	5746	26099
16-SEP-2006	2DAT1021	CIT_K	315712	5746	26099
16-SEP-2006	2DAT1021	CIT-F	315712	5746	1855
16-SEP-2006	2DAT1021	CIT_K	315712	5746	1855
16-SEP-2006	2DAT1021	CIT_K	315712	5746	1855
16-SEP-2006	2DAT1021	CIT-F	315712	5746	20524
16-SEP-2006	2DAT1021	CIT_K	315712	5746	20524
16-SEP-2006	2DAT1021	CIT_K	315712	5746	20524
16-SEP-2006	2DAT1021	HTM-F	315712	5746	287
16-SEP-2006	2DAT1021	HTM-F	315712	5746	287
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	427983
16-SEP-2006	2DAT1021	HTM-F	315712	5746	47668
16-SEP-2006	2DAT1021	HTM-F	315712	5746	8771
16-SEP-2006	2DAT1021	CIT_K	315712	5746	8771
16-SEP-2006	2DAT1021	HTM-F	315712	5746	8771
16-SEP-2006	2DAT1021	CIT_K	315712	5746	8771
16-SEP-2006	2DAT1021	HTM-F	315712	5746	8771
16-SEP-2006	2DAT1021	HTM-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	8771
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	25579
16-SEP-2006	2DAT1021	HTM-F	315712	5746	25579
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	71294
16-SEP-2006	2DAT1021	HTM-F	315712	5746	71294
16-SEP-2006	2DAT1021	HTM-F	315712	5746	71294
16-SEP-2006	2DAT1021	CIT-F	315712	5746	48816
16-SEP-2006	2DAT1021	CIT_K	315712	5746	48816
16-SEP-2006	2DAT1021	CIT_K	315712	5746	48816
16-SEP-2006	2DAT1021	CIT-F	315712	5746	7757
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7757
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7757
16-SEP-2006	2DAT1021	CIT-F	315712	5746	7757
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7757
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7757
16-SEP-2006	2DAT1021	HTM-F	315712	5746	4628
16-SEP-2006	2DAT1021	HTM-F	315712	5746	4628
16-SEP-2006	2DAT1021	CIT-F	315712	5746	7152
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7152
16-SEP-2006	2DAT1021	CIT_K	315712	5746	11611
16-SEP-2006	2DAT1021	CIT-F	315712	5746	33091
16-SEP-2006	2DAT1021	CIT_K	315712	5746	33091
16-SEP-2006	2DAT1021	CIT_K	315712	5746	33091
16-SEP-2006	2DAT1021	HTM-F	315712	5746	48778
16-SEP-2006	2DAT1021	K_SAK	315712	5746	44970
16-SEP-2006	2DAT1021	K_SAK	315712	5746	7222
16-SEP-2006	2DAT1021	K_SAK	315712	5746	44970
16-SEP-2006	2DAT1021	K_SAK	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	7222
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	7222
16-SEP-2006	2DAT1021	CIT_K	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	GRAF-F	315712	5746	7222
16-SEP-2006	2DAT1021	HTM-F	315712	5746	7222
16-SEP-2006	2DAT1021	K_SAK	364230	13502	44929
16-SEP-2006	2DAT1021	K_SAK	364230	13502	7222
16-SEP-2006	2DAT1021	S_B	364230	13502	973
16-SEP-2006	2DAT1021	K_SAK	364230	13502	7222
16-SEP-2006	2DAT1021	HTM-F	364230	13502	670
16-SEP-2006	2DAT1021	CIT_K	364230	13502	2373
